nohup: ignoring input
Epoch~69->train_loss:1.0922, val_loss:1.1192, val_accu:0.2, lr:0.10191186517477036, conflict:10/69=0.1449
Epoch~70->train_loss:1.0922, val_loss:1.1191, val_accu:0.2, lr:0.10191880166530609, conflict:10/70=0.1429
Epoch~71->train_loss:1.0921, val_loss:1.1191, val_accu:0.2, lr:0.1019258126616478, conflict:11/71=0.1549
Epoch~72->train_loss:1.092, val_loss:1.119, val_accu:0.2, lr:0.10193290561437607, conflict:12/72=0.1667
Epoch~73->train_loss:1.0919, val_loss:1.1189, val_accu:0.2, lr:0.10194007307291031, conflict:12/73=0.1644
Epoch~74->train_loss:1.0919, val_loss:1.1189, val_accu:0.2, lr:0.10194730758666992, conflict:13/74=0.1757
Epoch~75->train_loss:1.0918, val_loss:1.1188, val_accu:0.2, lr:0.1019546240568161, conflict:13/75=0.1733
Epoch~76->train_loss:1.0917, val_loss:1.1187, val_accu:0.2, lr:0.10196202993392944, conflict:13/76=0.1711
Epoch~77->train_loss:1.0916, val_loss:1.1187, val_accu:0.2, lr:0.10196952521800995, conflict:13/77=0.1688
Epoch~78->train_loss:1.0916, val_loss:1.1186, val_accu:0.2, lr:0.10197710990905762, conflict:13/78=0.1667
Epoch~79->train_loss:1.0915, val_loss:1.1185, val_accu:0.2, lr:0.10198478400707245, conflict:14/79=0.1772
Epoch~80->train_loss:1.0914, val_loss:1.1184, val_accu:0.2, lr:0.10199255496263504, conflict:14/80=0.175
Epoch~81->train_loss:1.0913, val_loss:1.1184, val_accu:0.2, lr:0.1020004153251648, conflict:14/81=0.1728
Epoch~82->train_loss:1.0913, val_loss:1.1183, val_accu:0.2, lr:0.1020083799958229, conflict:14/82=0.1707
Epoch~83->train_loss:1.0912, val_loss:1.1182, val_accu:0.2, lr:0.10201645642518997, conflict:14/83=0.1687
Epoch~84->train_loss:1.0911, val_loss:1.1181, val_accu:0.2, lr:0.10202464461326599, conflict:14/84=0.1667
Epoch~85->train_loss:1.091, val_loss:1.1181, val_accu:0.2, lr:0.10203293710947037, conflict:14/85=0.1647
Epoch~86->train_loss:1.0909, val_loss:1.118, val_accu:0.2, lr:0.1020413413643837, conflict:14/86=0.1628
Epoch~87->train_loss:1.0908, val_loss:1.1179, val_accu:0.2, lr:0.10204987227916718, conflict:15/87=0.1724
Epoch~88->train_loss:1.0907, val_loss:1.1178, val_accu:0.2, lr:0.1020585224032402, conflict:16/88=0.1818
Epoch~89->train_loss:1.0907, val_loss:1.1177, val_accu:0.2, lr:0.10206729173660278, conflict:16/89=0.1798
Epoch~90->train_loss:1.0906, val_loss:1.1177, val_accu:0.2, lr:0.10207619518041611, conflict:17/90=0.1889
Epoch~91->train_loss:1.0905, val_loss:1.1176, val_accu:0.2, lr:0.10208523273468018, conflict:17/91=0.1868
Epoch~92->train_loss:1.0904, val_loss:1.1175, val_accu:0.2, lr:0.10209440439939499, conflict:17/92=0.1848
Epoch~93->train_loss:1.0903, val_loss:1.1174, val_accu:0.2, lr:0.10210371762514114, conflict:18/93=0.1935
Epoch~94->train_loss:1.0902, val_loss:1.1173, val_accu:0.2, lr:0.10211317241191864, conflict:19/94=0.2021
Epoch~95->train_loss:1.0901, val_loss:1.1172, val_accu:0.2, lr:0.10212277621030807, conflict:19/95=0.2
Epoch~96->train_loss:1.09, val_loss:1.1171, val_accu:0.2, lr:0.10213254392147064, conflict:19/96=0.1979
Epoch~97->train_loss:1.0899, val_loss:1.117, val_accu:0.2, lr:0.10214247554540634, conflict:19/97=0.1959
Epoch~98->train_loss:1.0898, val_loss:1.1169, val_accu:0.2, lr:0.10215256363153458, conflict:19/98=0.1939
Epoch~99->train_loss:1.0897, val_loss:1.1168, val_accu:0.2, lr:0.10216281563043594, conflict:19/99=0.1919
Epoch~100->train_loss:1.0896, val_loss:1.1167, val_accu:0.2, lr:0.10217323154211044, conflict:19/100=0.19
Epoch~101->train_loss:1.0895, val_loss:1.1166, val_accu:0.2, lr:0.10218381881713867, conflict:19/101=0.1881
Epoch~102->train_loss:1.0894, val_loss:1.1165, val_accu:0.2, lr:0.10219458490610123, conflict:19/102=0.1863
